query,parallelism,batches_processed,avg_latency_ms,max_latency_ms,throughput_events_per_sec
Q1,1,3600,4.55,50.00,219.89
Q2,1,3600,11.01,39.00,90.86
Q3,1,3600,0.19,26.00,5294.12
Q1,2,3600,4.93,35.00,405.36
Q2,2,3600,11.21,61.00,178.25
Q3,2,3600,0.02,8.00,87804.88
Q1,3,3600,5.31,38.00,564.88
Q2,3,3600,11.98,77.00,250.28
Q3,3,3600,0.07,9.00,42857.14
Q1,4,3600,5.31,41.00,753.14
Q2,4,3600,10.04,49.00,398.14
Q3,4,3600,0.01,12.00,300000.00
Q1,5,3600,6.28,74.00,795.40
Q2,5,3600,13.93,62.00,358.49
Q3,5,3600,0.24,59.00,20689.66
Q1,6,3600,6.67,73.00,897.53
Q2,6,3600,14.98,101.00,399.96
Q3,6,3600,0.04,14.00,144000.00
Q1,7,3600,7.52,89.00,927.60
Q2,7,3600,16.36,93.00,426.34
Q3,7,3600,0.29,36.00,24324.32
Q1,8,3600,6.73,74.00,1186.55
Q2,8,3600,11.90,129.00,670.89
Q3,8,3600,0.01,4.00,900000.00
